TITLE="vgrid_n=25Re=100.dat" VARIABLES="x", "y", "v" ZONE T="vgrid_n=25Re=100.dat" I=23 J=22 F=POINT
1.0869565217e-01, 6.5217391304e-01, 1.8374335430e-01,
1.5217391304e-01, 6.5217391304e-01, 2.1302754609e-01,
1.9565217391e-01, 6.5217391304e-01, 2.2652394117e-01,
2.3913043478e-01, 6.5217391304e-01, 2.2893245694e-01,
2.8260869565e-01, 6.5217391304e-01, 2.2345185154e-01,
3.2608695652e-01, 6.5217391304e-01, 2.1188880410e-01,
3.6956521739e-01, 6.5217391304e-01, 1.9496651501e-01,
4.1304347826e-01, 6.5217391304e-01, 1.7265344759e-01,
4.5652173913e-01, 6.5217391304e-01, 1.4443309539e-01,
5.0000000000e-01, 6.5217391304e-01, 1.0950166401e-01,
5.4347826087e-01, 6.5217391304e-01, 6.6916234893e-02,
5.8695652174e-01, 6.5217391304e-01, 1.5738626085e-02,
6.3043478261e-01, 6.5217391304e-01, -4.4749846326e-02,
6.7391304348e-01, 6.5217391304e-01, -1.1463003300e-01,
7.1739130435e-01, 6.5217391304e-01, -1.9249480996e-01,
7.6086956522e-01, 6.5217391304e-01, -2.7383851895e-01,
8.0434782609e-01, 6.5217391304e-01, -3.4842715497e-01,
8.4782608696e-01, 6.5217391304e-01, -3.9712105278e-01,
8.9130434783e-01, 6.5217391304e-01, -3.9093071643e-01,
9.3478260870e-01, 6.5217391304e-01, -2.9956979167e-01,
9.7826086957e-01, 6.5217391304e-01, -1.1744568256e-01,
2.1739130435e-02, 6.9565217391e-01, 5.9437718548e-02,
6.5217391304e-02, 6.9565217391e-01, 1.4342363650e-01,
1.0869565217e-01, 6.9565217391e-01, 1.9599456973e-01,
1.5217391304e-01, 6.9565217391e-01, 2.2432474903e-01,
1.9565217391e-01, 6.9565217391e-01, 2.3567394146e-01,
2.3913043478e-01, 6.9565217391e-01, 2.3574472774e-01,
