TITLE="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" I=51 J=51 F=POINT
0.0800000000, 0.2800000000, -0.0111768893, 0.0365668436, 0.0038236853, 0.0000313770, -2.8048912828
0.0800000000, 0.3000000000, -0.0117655773, 0.0417033145, 0.0043331227, 0.0000359109, -3.2487996910
0.0800000000, 0.3200000000, -0.0122770973, 0.0470788140, 0.0048653282, 0.0000406265, -3.7189860549
0.0800000000, 0.3400000000, -0.0127080731, 0.0526604129, 0.0054172080, 0.0000455058, -4.2100648927
0.0800000000, 0.3600000000, -0.0130552778, 0.0584135632, 0.0059854696, 0.0000505265, -4.7168003406
0.0800000000, 0.3800000000, -0.0133160457, 0.0643022953, 0.0065666599, 0.0000556626, -5.2341187874
0.0800000000, 0.4000000000, -0.0134886960, 0.0702895429, 0.0071572095, 0.0000608842, -5.7571733844
0.0800000000, 0.4200000000, -0.0135729709, 0.0763376140, 0.0077534875, 0.0000661577, -6.2814372266
0.0800000000, 0.4400000000, -0.0135704871, 0.0824088217, 0.0083518693, 0.0000714455, -6.8028212176
0.0800000000, 0.4600000000, -0.0134852045, 0.0884662839, 0.0089488179, 0.0000767069, -7.3178206898
0.0800000000, 0.4800000000, -0.0133239156, 0.0944749010, 0.0095409819, 0.0000818972, -7.8236891945
0.0800000000, 0.5000000000, -0.0130967644, 0.1004025170, 0.0101253102, 0.0000869683, -8.3186405046
0.0800000000, 0.5200000000, -0.0128178091, 0.1062212716, 0.0106991844, 0.0000918685, -8.8020823517
0.0800000000, 0.5400000000, -0.0125056514, 0.1119091494, 0.0112605724, 0.0000965416, -9.2748885547
0.0800000000, 0.5600000000, -0.0121841639, 0.1174517333, 0.0118082020, 0.0001009267, -9.7397212275
0.0800000000, 0.5800000000, -0.0118833617, 0.1228441707, 0.0123417602, 0.0001049567, -10.2014218976
0.0800000000, 0.6000000000, -0.0116404716, 0.1280933545, 0.0128621180, 0.0001085557, -10.6675007732
0.0800000000, 0.6200000000, -0.0115012609, 0.1332203114, 0.0133715857, 0.0001116360, -11.1487685688
0.0800000000, 0.6400000000, -0.0115216880, 0.1382627614, 0.0138741993, 0.0001140922, -11.6601756583
0.0800000000, 0.6600000000, -0.0117699078, 0.1432777503, 0.0143760372, 0.0001157946, -12.2219562510
0.0800000000, 0.6800000000, -0.0123286039, 0.1483441391, 0.0148855561, 0.0001165775, -12.8612297751
0.0800000000, 0.7000000000, -0.0132974649, 0.1535645084, 0.0154139161, 0.0001162261, -13.6142579292
